Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
130000,1.3922808,0.00029514378,0.0013273429,1.43281595e-05,0.024007171,0.0,0.0,1477.0
131000,1.3918247,0.0002951063,0.0019884487,1.8783936e-05,0.023011204,0.0,0.0,1477.0
132000,1.3914069,0.0002950688,0.0010156167,None,None,1.6666666666666667,1.6666666666666667,1240.8333333333333
133000,1.3914531,0.00029503132,-0.007630974,0.081293575,0.028728899,0.0,0.0,1477.0
134000,1.3914865,0.00029499378,-0.003090187,0.0003845264,0.024225019,0.0,0.0,1477.0
135000,1.3908381,0.0002949563,-0.009672189,0.000111768146,0.029139413,0.0,0.0,1477.0
136000,1.3900719,0.00029491878,0.0004932035,0.06632861,0.027341736,1.6666666666666667,1.6666666666666667,1296.0
137000,1.3894321,0.0002948813,-0.0038002457,0.00059673894,0.020557312,0.0,0.0,1477.0
138000,1.3888121,0.0002948438,-0.0014863288,0.07996016,0.027235838,2.0,2.0,1192.2
139000,1.3880186,0.0002948063,0.011509154,0.00047890734,0.017688943,0.0,0.0,1477.0
140000,1.3883984,0.0002947688,0.011291231,None,None,2.0,2.0,1184.2
141000,1.3882427,0.00029473126,-0.0066434243,0.12324849,0.025949262,0.0,0.0,1477.0
142000,1.3876601,0.00029469377,-8.767719e-05,0.00026338056,0.022975478,0.0,0.0,1477.0
143000,1.387574,0.0002946563,-0.0005330464,0.00014482946,0.02008361,0.0,0.0,1477.0
144000,1.3879101,0.00029461877,-0.0089305155,7.168941e-05,0.016564107,0.0,0.0,1477.0
145000,1.38818,0.0002945813,-0.0038413804,4.4510944e-05,0.02369365,0.0,0.0,1477.0
146000,1.388135,0.0002945438,-0.0021084917,3.611551e-05,0.028882073,0.0,0.0,1477.0
147000,1.3880581,0.00029450632,-0.006323709,3.5787507e-05,0.02844902,0.0,0.0,1477.0
148000,1.388008,0.0002944688,-0.0033383004,None,None,0.0,0.0,1477.0
149000,1.3886982,0.0002944313,-0.001782252,3.740552e-05,0.020118805,0.0,0.0,1477.0
150000,1.3897868,0.0002943938,-0.0039814543,2.7391223e-05,0.025300497,0.0,0.0,1477.0
151000,1.389991,0.0002943563,-0.0018742527,2.3090077e-05,0.022275062,0.0,0.0,1477.0
152000,1.3896472,0.0002943188,-0.0015465056,1.6479404e-05,0.02640788,0.0,0.0,1477.0
153000,1.3889221,0.00029428132,-0.003190703,1.5928257e-05,0.022229075,0.0,0.0,1477.0
154000,1.388014,0.00029424377,-0.0013559123,1.4268968e-05,0.032470208,0.0,0.0,1477.0
155000,1.3872373,0.0002942063,-0.0010259077,0.078634486,0.022378538,1.1111111111111112,1.1111111111111112,1315.7777777777778
156000,1.3866904,0.0002941688,-0.0016683541,None,None,0.0,0.0,1477.0
157000,1.3859161,0.00029413129,0.00240763,0.00014698901,0.03143196,0.0,0.0,1477.0
158000,1.3864614,0.0002940938,0.0035286155,4.8011698e-05,0.020431535,0.0,0.0,1477.0
159000,1.3863802,0.00029405628,-0.0024222801,2.912337e-05,0.021485599,0.0,0.0,1477.0
160000,1.3862696,0.0002940188,0.0001904681,2.2400109e-05,0.02754638,0.0,0.0,1477.0
161000,1.3866165,0.0002939813,-6.8730995e-05,9.3458375e-06,0.029349132,0.0,0.0,1477.0
162000,1.3870335,0.0002939438,-0.0022654664,1.3818789e-05,0.01860653,0.0,0.0,1477.0
163000,1.3865852,0.00029390628,-0.0006010144,1.36305025e-05,0.029559655,0.0,0.0,1477.0
164000,1.3863951,0.00029386877,-0.00043413267,None,None,0.0,0.0,1477.0
165000,1.3848313,0.00029383128,-0.0012084793,1.0280883e-05,0.023144431,0.0,0.0,1477.0
166000,1.3837878,0.0002937938,-0.0012797451,1.2843232e-05,0.022908049,1.4285714285714286,1.4285714285714286,1288.4285714285713
167000,1.383281,0.0002937563,0.006099876,0.08081701,0.028479924,0.0,0.0,1477.0
168000,1.3831913,0.00029371877,-0.002453952,0.00021267514,0.028495567,0.0,0.0,1477.0
169000,1.3830076,0.00029368128,0.0060051596,8.130581e-05,0.02913997,0.0,0.0,1477.0
170000,1.3826513,0.00029364377,0.0049249562,2.891025e-05,0.019523323,0.0,0.0,1477.0
171000,1.3825136,0.00029360628,0.0028915997,1.3821652e-05,0.020462798,0.0,0.0,1477.0
172000,1.3818098,0.0002935688,0.0017733191,None,None,0.0,0.0,1477.0
173000,1.3805681,0.0002935313,0.0004619251,1.6569034e-05,0.021574024,0.0,0.0,1477.0
174000,1.3801961,0.0002934938,-0.0011875373,1.0833089e-05,0.017099716,0.0,0.0,1477.0
175000,1.3804336,0.0002934563,0.0010303771,1.2407371e-05,0.020764995,0.0,0.0,1477.0
176000,1.3808284,0.00029341877,0.006948984,0.08262565,0.020786928,1.25,1.25,1441.25
